no,gender,age,age_group,los,last_login_days_ago,info_vacancy_period,is_take_test_minat,is_experienced,is_need_job,is_auto_apply_job,is_completed_profile,total_docs_upload,is_cv_uploaded,expected_salary,have_additional_skill,usr_group_specialization,apply_job_weekend_weekday_tendency,apply_training_weekend_weekday_tendency,training_level_tendency,education_enthuasiast_lvl,frequency_activity,recency_engagement,user_lifecycle,user_ses,job_sensitivity,searching_job_behavior,work_distance_tendency
897,Wanita,25,18-25,664,663,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Hukum / Legal,,,,Moderate,,Low,New,A,,,
898,Wanita,23,18-25,275,275,monthly,No,Yes,No,No,No,0,No,,No,Akuntansi / Keuangan,,,,Moderate,,High,New,A,,,
899,Pria,26,26-35,1024,860,monthly,No,Yes,No,No,No,0,No,8-10 jt,No,Pelayanan Kesehatan,,,,Moderate,,Low,New,A,,,
900,Pria,41,36-45,802,469,daily,No,Yes,No,Yes,Yes,0,Yes,6-7 jt,Yes,Penjualan,Weekday,,,Moderate,Low,Medium,Churn,A,High,Active canidate,
901,Pria,33,26-35,146,101,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,Weekday,,,Basic,Low,High,Churn,A,Low,,Same Province
902,Pria,20,18-25,378,378,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,Weekday,,,Basic,Low,Medium,Churn,B,Low,,Same Province
903,Pria,23,18-25,994,528,,Yes,Yes,,,Yes,0,Yes,,Yes,Seni / Media / Komunikasi,,,,Basic,,Medium,New,C,,Future Candidates,
904,Pria,23,18-25,1450,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Teknologi Informasi (TI),,,,Basic,Low,Low,New,A,,,
905,Pria,52,46-55,1166,848,daily,No,Yes,,No,Yes,0,No,,No,Seni / Media / Komunikasi,,,,Basic,,Low,New,C,,Future Candidates,
906,Pria,21,18-25,865,848,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,B,,Future Candidates,
