no,gender,age,age_group,los,last_login_days_ago,info_vacancy_period,is_take_test_minat,is_experienced,is_need_job,is_auto_apply_job,is_completed_profile,total_docs_upload,is_cv_uploaded,expected_salary,have_additional_skill,usr_group_specialization,apply_job_weekend_weekday_tendency,apply_training_weekend_weekday_tendency,training_level_tendency,education_enthuasiast_lvl,frequency_activity,recency_engagement,user_lifecycle,user_ses,job_sensitivity,searching_job_behavior,work_distance_tendency
1,Wanita,26,26-35,1484,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Basic,Low,Low,New,B,,,
2,Pria,42,36-45,1562,846,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Moderate,,Low,New,A,,Future Candidates,
3,Wanita,26,26-35,1047,528,,No,Yes,Yes,,Yes,0,Yes,,No,Akuntansi / Keuangan,,,,Moderate,Low,Medium,New,A,,,
4,Wanita,28,26-35,1869,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,,
5,Pria,38,36-45,930,848,daily,No,Yes,Yes,No,Yes,0,Yes,8-10 jt,No,Teknologi Informasi (TI),,,,Moderate,Low,Low,New,A,,Active canidate,
6,Wanita,26,26-35,253,253,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,,High,New,A,,,
7,Pria,29,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
8,Pria,27,26-35,1552,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Jasa / Pelayanan,Weekday,,,Moderate,Low,Low,Churn,A,,,
9,Wanita,31,26-35,1614,730,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Pemasaran ,Weekday,Weekday,Basic,Moderate,Low,Low,Churn,A,Low,,
10,Wanita,52,46-55,1400,860,daily,No,Yes,Yes,No,No,0,No,< 3 Jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Basic,,Low,New,C,,Active canidate,
11,Wanita,26,26-35,516,516,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,,Medium,New,A,,Future Candidates,
12,Pria,22,18-25,1345,620,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pemasaran ,,,,Basic,,Low,New,B,,Active canidate,
13,Wanita,25,18-25,454,453,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pemasaran ,Weekday,,,Basic,Low,Medium,Churn,B,High,,Same Province
14,Pria,20,18-25,987,520,daily,No,Yes,Yes,No,Yes,0,Yes,6-7 jt,No,Keahlian Teknik,Weekday,,,Basic,Low,Medium,Churn,A,,Active canidate,
15,Wanita,21,18-25,107,107,monthly,No,Yes,No,No,Yes,0,Yes,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,High,Retain,A,,,Same Province
16,Pria,27,26-35,906,848,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,Yes,Manufaktur,,,,Basic,Low,Low,Churn,B,,,
17,Pria,32,26-35,959,860,monthly,No,Yes,Yes,No,No,0,Yes,< 3 Jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
18,Pria,52,46-55,57,57,monthly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,High,New,,,,
19,Wanita,32,26-35,1667,860,2week,No,Yes,Yes,Yes,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Basic,Low,Low,New,C,,,
20,Pria,22,18-25,385,385,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,Weekday,,,Basic,Low,Medium,Churn,B,Low,,Same Province
21,Wanita,31,26-35,2102,528,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Medium,New,B,,,
22,Pria,22,18-25,1389,522,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,Medium,Churn,B,Low,Active canidate,
23,Pria,29,26-35,1309,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Penjualan,,,,Basic,Low,Low,New,A,,Active canidate,
24,Pria,24,18-25,1720,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,,
25,Pria,35,26-35,1211,528,,No,Yes,Yes,No,No,0,No,,No,Ilmu Sosial & Politik,,,,Basic,Low,Medium,New,C,,,
26,Wanita,22,18-25,694,666,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Pemasaran ,,,,Basic,,Low,New,B,,Active canidate,
27,Pria,27,26-35,1454,528,,Yes,Yes,Yes,Yes,Yes,0,No,,No,Administrasi / GA,Weekend,,,Moderate,Low,Medium,Churn,A,Low,,Different Province
28,Wanita,22,18-25,128,128,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,Weekday,,,Moderate,Low,High,Churn,A,,,Different Province
29,Wanita,31,26-35,1728,843,2week,No,Yes,No,No,Yes,0,No,6-7 jt,No,Bangunan / Konstruksi,,,,Moderate,Low,Low,New,A,,Passive canidate,
30,Pria,18,18-25,464,464,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Medium,New,C,,,
31,Pria,36,36-45,1934,843,monthly,No,Yes,No,No,Yes,0,No,6-7 jt,No,Administrasi / GA,,,,Moderate,,Low,New,A,,Passive canidate,
32,Pria,22,18-25,1014,860,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,B,,Future Candidates,
33,Wanita,25,18-25,700,697,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,,Low,New,A,,Future Candidates,
34,Pria,24,18-25,584,577,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
35,Pria,36,36-45,588,588,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,A,,,
36,Pria,31,26-35,1193,528,,No,Yes,,,No,0,No,,Yes,Keahlian Teknik,,,,Basic,Low,Medium,New,C,,,
37,Wanita,20,18-25,769,769,monthly,No,Yes,No,No,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Basic,,Low,New,C,,Future Candidates,
38,Pria,28,26-35,1397,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Moderate,Low,Low,New,B,,Active canidate,
39,Wanita,21,18-25,741,713,daily,No,Yes,Yes,No,Yes,0,Yes,< 3 Jt,No,Administrasi / GA,,,,Basic,,Low,New,C,,Active canidate,
40,Pria,28,26-35,1137,528,,No,Yes,,,Yes,0,Yes,,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,,Medium,New,B,,Passive canidate,
41,Wanita,23,18-25,329,329,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,Low,Medium,New,A,,,
42,Wanita,3,<=17,1027,860,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
43,Pria,31,26-35,1976,843,weekly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Moderate,Low,Low,New,A,,Active canidate,
44,,52,46-55,1119,860,daily,No,Yes,,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,,
45,Wanita,22,18-25,620,613,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Manufaktur,,,,Basic,Low,Low,New,A,,,
46,Pria,29,26-35,1036,848,monthly,Yes,Yes,Yes,,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,B,,Future Candidates,
47,Pria,28,26-35,1694,860,weekly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Ilmu Pengetahuan,,,,Moderate,,Low,New,B,,Active canidate,
48,Wanita,20,18-25,661,553,daily,Yes,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Teknologi Informasi (TI),Weekday,,,Basic,Low,Medium,Churn,C,Low,Active canidate,Different Province
49,Pria,20,18-25,617,610,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,B,,,
50,Pria,31,26-35,1261,528,,No,Yes,No,,No,0,No,,No,Keahlian Teknik,,,,Moderate,,Medium,New,A,,,
51,Pria,21,18-25,1430,620,2week,No,Yes,No,No,No,0,No,3-5 jt,No,Teknologi Informasi (TI),,,,Basic,,Low,New,B,,,
52,Pria,22,18-25,790,468,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Keahlian Teknik,,,,Basic,Low,Medium,New,B,,Active canidate,
53,Pria,31,26-35,221,221,monthly,No,Yes,No,No,Yes,0,No,8-10 jt,No,Personalia / SDM / HR,,,,Moderate,,High,New,A,,Passive canidate,
54,Wanita,21,18-25,209,209,monthly,No,Yes,No,No,No,0,No,,No,,,,,Moderate,,High,New,A,,,
55,Pria,20,18-25,1059,860,monthly,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,B,,,
56,Pria,40,36-45,1117,620,weekly,No,Yes,No,No,No,0,No,11-15 jt,No,Teknologi Informasi (TI),,,,Moderate,,Low,New,A,,Passive canidate,
57,Wanita,21,18-25,992,860,daily,No,Yes,No,No,Yes,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
58,Wanita,38,36-45,759,752,monthly,No,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Jasa / Pelayanan,,,,Basic,Low,Low,New,C,,,
59,Wanita,35,26-35,1116,634,daily,No,Yes,Yes,Yes,Yes,0,Yes,6-7 jt,No,Akuntansi / Keuangan,Weekday,,,Moderate,Low,Low,Churn,A,High,Active canidate,Different Province
60,Wanita,23,18-25,3,3,monthly,No,Yes,Yes,No,Yes,0,Yes,< 3 Jt,No,,,,,Moderate,,High,New,B,,,
61,Pria,29,26-35,2216,860,weekly,No,Yes,No,No,Yes,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
62,Pria,26,26-35,1488,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Perencanaan & Pengembangan Perusahaan,,,,Moderate,Low,Low,New,A,,Future Candidates,
63,Pria,52,46-55,1320,846,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Teknologi Informasi (TI),,,,Moderate,,Low,New,A,,Active canidate,
64,Wanita,21,18-25,602,602,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,,
65,Pria,22,18-25,988,860,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,Future Candidates,
66,Wanita,21,18-25,798,629,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,,
67,Pria,52,46-55,1456,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Manufaktur,,,,Basic,,Low,New,A,,,
68,Wanita,32,26-35,1471,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,Low,Low,New,A,,,
69,Pria,26,26-35,1204,528,,No,Yes,No,No,No,0,Yes,3-5 jt,No,Keahlian Teknik,,,,Moderate,Low,Medium,New,B,,,
70,Wanita,27,26-35,1242,528,,No,Yes,Yes,,Yes,0,Yes,,No,Teknologi Informasi (TI),,,,Moderate,Low,Medium,New,A,,,
71,Wanita,23,18-25,1459,860,weekly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,Low,Low,New,B,,Active canidate,
72,Wanita,23,18-25,194,194,monthly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,High,New,C,,Future Candidates,
73,Pria,24,18-25,224,224,monthly,Yes,Yes,Yes,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,Weekend,,,Basic,Low,High,Churn,A,Low,,Same Province
74,Pria,21,18-25,1074,860,monthly,No,Yes,No,No,No,0,No,6-7 jt,No,Penjualan,,,,Basic,,Low,New,A,,Future Candidates,
75,Pria,27,26-35,1543,846,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,,Low,New,B,,,
76,Pria,23,18-25,1697,860,weekly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,,
77,Wanita,29,26-35,1417,860,daily,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,Low,Low,New,A,,,
78,Wanita,23,18-25,888,612,monthly,No,Yes,Yes,No,Yes,0,No,,No,,,,,Basic,Low,Low,New,C,,Future Candidates,
79,Pria,39,36-45,1468,846,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Penjualan,,,,Moderate,Low,Low,New,B,,Future Candidates,
80,Pria,23,18-25,1298,528,,No,Yes,No,,No,0,No,,No,Hukum / Legal,,,,Moderate,Low,Medium,New,A,,,
81,Wanita,21,18-25,107,107,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,High,Churn,A,,,
82,Pria,29,26-35,2203,860,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,,Low,New,B,,,
83,Wanita,30,26-35,38,31,monthly,No,Yes,Yes,No,Yes,0,Yes,6-7 jt,No,,Weekday,,,Moderate,Low,High,Churn,A,Low,,Same Province
84,Pria,33,26-35,460,460,monthly,No,Yes,No,No,Yes,0,Yes,3-5 jt,No,Administrasi / GA,,,,Basic,,Medium,New,B,,Passive canidate,
85,Wanita,18,18-25,201,198,monthly,Yes,Yes,No,No,Yes,0,No,8-10 jt,No,Administrasi / GA,,,,Basic,,High,New,A,,,
86,Pria,30,26-35,1357,846,monthly,No,Yes,No,No,Yes,0,No,8-10 jt,No,Ilmu Pengetahuan,,,,Moderate,,Low,New,A,,Passive canidate,
87,Pria,28,26-35,233,233,monthly,No,Yes,No,No,No,0,No,6-7 jt,No,Administrasi / GA,,,,Moderate,,High,New,A,,Passive canidate,
88,Wanita,24,18-25,604,555,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Medium,New,A,,,
89,Wanita,19,18-25,17,17,monthly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,High,New,,,,
90,Pria,13,<=17,1672,860,monthly,No,Yes,No,No,No,0,No,,No,Administrasi / GA,,,,Basic,,Low,New,,,,
91,Pria,25,18-25,772,734,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,,Low,New,A,,,
92,Wanita,27,26-35,1434,860,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Moderate,Low,Low,New,A,,,
93,Pria,4,<=17,1437,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,Low,Low,New,A,,Passive canidate,
94,Pria,31,26-35,1447,846,weekly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,Low,Low,New,A,,Active canidate,
95,Wanita,52,46-55,1150,848,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,B,,Active canidate,
96,Pria,24,18-25,1473,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Keahlian Teknik,,Weekday,Expert,Moderate,Low,Low,Churn,B,,,
97,Pria,32,26-35,231,231,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Administrasi / GA,Weekday,,,Moderate,Low,High,Churn,A,High,,Same Province
98,Pria,22,18-25,78,78,monthly,No,Yes,No,No,Yes,0,No,6-7 jt,No,,,,,Basic,,High,New,A,,,
99,Pria,29,26-35,1357,846,daily,No,Yes,Yes,No,Yes,0,No,8-10 jt,Yes,Pelayanan Kesehatan,,,,Moderate,Low,Low,New,A,,Active canidate,
100,Wanita,25,18-25,1011,860,monthly,No,Yes,No,No,No,0,Yes,< 3 Jt,No,Ilmu Sosial & Politik,,,,Moderate,,Low,New,A,,Future Candidates,
101,Pria,39,36-45,1689,860,weekly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,Low,New,,,,
102,Wanita,24,18-25,685,679,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,Low,Low,New,B,,Future Candidates,
103,Wanita,21,18-25,209,209,monthly,No,Yes,No,No,No,0,No,,No,,,,,Moderate,,High,New,A,,,
104,Pria,25,18-25,1621,846,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Akuntansi / Keuangan,,,,Basic,Low,Low,New,B,,Future Candidates,
105,Wanita,22,18-25,1241,848,monthly,No,Yes,Yes,,Yes,0,No,6-7 jt,No,Personalia / SDM / HR,,,,Basic,Low,Low,New,A,,Future Candidates,
106,Wanita,26,26-35,1874,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Pemasaran ,,,,Moderate,,Low,New,A,,,
107,Pria,52,46-55,1329,860,weekly,No,Yes,Yes,No,No,0,No,6-7 jt,No,Pemasaran ,,,,Basic,,Low,New,A,,Active canidate,
108,Pria,30,26-35,1472,846,monthly,No,Yes,Yes,Yes,Yes,1,No,3-5 jt,Yes,Manufaktur,,,,Moderate,Low,Low,New,A,,,
109,Pria,27,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,,
110,Pria,20,18-25,961,845,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,B,,Future Candidates,
111,Pria,21,18-25,192,192,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,High,New,B,,,
112,Pria,23,18-25,157,114,monthly,No,Yes,No,No,Yes,0,No,,No,Teknologi Informasi (TI),,,,Moderate,Low,High,New,A,,,
113,Pria,39,36-45,1012,528,,No,Yes,Yes,,No,0,Yes,,No,Akuntansi / Keuangan,,,,Moderate,Low,Medium,New,B,,,
114,Wanita,19,18-25,48,48,,No,Yes,,,Yes,0,No,,No,,,,,Basic,,High,New,C,,,
115,Wanita,20,18-25,311,311,,No,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Administrasi / GA,Weekday,,,Basic,Low,Medium,Churn,C,Low,,Same Province
116,Wanita,23,18-25,263,263,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,Weekend,,,Moderate,Low,High,Churn,A,Low,Future Candidates,
117,Pria,23,18-25,1026,860,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Teknologi Informasi (TI),,,,Basic,,Low,New,B,,,
118,Pria,26,26-35,1692,843,2week,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Pemasaran ,Weekday,,,Moderate,Low,Low,Churn,A,,,Different Province
119,Pria,25,18-25,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,A,,,
120,Pria,47,46-55,964,644,daily,No,Yes,Yes,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,Active canidate,
121,Pria,42,36-45,886,528,,No,Yes,,,No,0,Yes,,No,Pemasaran ,,,,Moderate,,Medium,New,A,,Passive canidate,
122,Wanita,24,18-25,702,695,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Moderate,Low,Low,New,A,,,
123,Wanita,21,18-25,580,559,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,Low,Medium,New,B,,Future Candidates,
124,Wanita,22,18-25,228,228,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Administrasi / GA,Weekday,,,Basic,Low,High,Churn,B,,,
125,Wanita,27,26-35,91,91,monthly,No,Yes,No,No,Yes,0,No,8-10 jt,No,,,,,Moderate,,High,New,A,,Passive canidate,
126,Pria,43,36-45,826,826,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,A,,,
127,Pria,32,26-35,645,638,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,,Low,New,B,,,
128,Pria,25,18-25,1055,730,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,Active canidate,
129,Pria,26,26-35,1407,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,,,,Moderate,Low,Low,New,A,,Active canidate,
130,Pria,23,18-25,1462,505,monthly,No,Yes,Yes,Yes,Yes,3,Yes,3-5 jt,No,Jasa / Pelayanan,Weekend,,,Basic,Low,Medium,Churn,B,High,Future Candidates,
131,Pria,23,18-25,298,134,monthly,No,Yes,Yes,No,Yes,3,Yes,3-5 jt,Yes,Teknologi Informasi (TI),Weekday,,,Moderate,Low,High,Churn,A,Low,Future Candidates,
132,Pria,27,26-35,1181,860,weekly,No,Yes,Yes,No,No,0,No,,Yes,Pemasaran ,,,,Moderate,,Low,New,A,,Active canidate,
133,Wanita,19,18-25,1035,860,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Ilmu Sosial & Politik,,,,Basic,,Low,New,A,,,
134,Pria,45,36-45,1313,846,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Penjualan,,,,Basic,,Low,New,A,,Passive canidate,
135,Pria,52,46-55,1659,843,2week,No,Yes,No,No,Yes,0,No,3-5 jt,Yes,Administrasi / GA,,,,Basic,Low,Low,New,B,,,
136,Wanita,27,26-35,1103,479,daily,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,Yes,Administrasi / GA,Weekday,,,Moderate,Low,Medium,Churn,A,High,Active canidate,
137,Pria,20,18-25,1427,860,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Teknologi Informasi (TI),,,,Basic,Low,Low,New,A,,,
138,Pria,26,26-35,191,191,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,High,New,,,,
139,Pria,24,18-25,1328,846,monthly,Yes,Yes,Yes,Yes,Yes,1,Yes,3-5 jt,Yes,Administrasi / GA,Weekday,,,Basic,Low,Low,Churn,B,Low,,Different Province
140,Wanita,36,36-45,1322,846,daily,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,Low,Low,New,A,,Active canidate,
141,Pria,30,26-35,1389,846,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,Yes,Hukum / Legal,,,,Basic,Low,Low,New,A,,Active canidate,
142,Pria,33,26-35,886,860,monthly,No,Yes,,,Yes,0,Yes,3-5 jt,No,Pemasaran ,,,,Moderate,Low,Low,New,B,,Passive canidate,
143,Pria,27,26-35,1290,846,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,Passive canidate,
144,Wanita,22,18-25,1368,860,daily,No,Yes,Yes,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,Low,Low,New,B,,Active canidate,
145,Pria,32,26-35,1155,620,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,,Low,New,A,,Passive canidate,
146,Pria,32,26-35,1098,848,weekly,No,Yes,No,No,Yes,0,No,6-7 jt,No,Teknologi Informasi (TI),,,,Moderate,,Low,New,A,,Passive canidate,
147,Pria,36,36-45,1253,860,weekly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Bangunan / Konstruksi,,,,Moderate,Low,Low,New,A,,Active canidate,
148,Wanita,21,18-25,1463,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,,
149,Pria,52,46-55,1413,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,,Low,New,B,,,
150,Pria,31,26-35,1064,860,monthly,No,Yes,No,No,No,0,No,26-30 jt,No,,,,,Basic,,Low,New,A,,Passive canidate,
151,Wanita,52,46-55,1661,860,weekly,No,Yes,Yes,No,Yes,0,No,< 3 Jt,Yes,Seni / Media / Komunikasi,,,,Moderate,Low,Low,New,A,,Active canidate,
152,Wanita,27,26-35,1751,843,weekly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,,Low,New,A,,Active canidate,
153,Pria,52,46-55,1413,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Pemasaran ,,,,Basic,Low,Low,New,B,,,
154,Pria,27,26-35,1036,860,daily,No,Yes,Yes,,No,0,Yes,3-5 jt,No,Administrasi / GA,,,,Moderate,,Low,New,A,,Active canidate,
155,Pria,25,18-25,943,860,monthly,No,Yes,No,No,No,0,No,< 3 Jt,No,Teknologi Informasi (TI),,,,Moderate,,Low,New,A,,,
156,Wanita,27,26-35,633,626,monthly,No,Yes,No,No,No,0,No,< 3 Jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
157,Wanita,30,26-35,1159,620,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,Passive canidate,
158,Wanita,23,18-25,1653,843,2week,No,Yes,Yes,Yes,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Basic,Low,Low,New,C,,,
159,Wanita,23,18-25,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,,
160,Pria,25,18-25,2208,860,weekly,No,Yes,No,No,Yes,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
161,Wanita,23,18-25,1453,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Personalia / SDM / HR,,,,Basic,Low,Low,New,B,,,
162,Pria,27,26-35,1180,528,,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,Low,Medium,New,A,,Future Candidates,
163,Pria,117,>65,2217,860,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Moderate,,Low,New,A,,,
164,Wanita,28,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,,
165,Wanita,28,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,,
166,Pria,23,18-25,504,395,monthly,Yes,Yes,Yes,No,Yes,0,No,3-5 jt,No,Administrasi / GA,Weekday,,,Moderate,Low,Medium,Churn,A,High,,
167,Wanita,24,18-25,467,467,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Ilmu Pengetahuan,,,,Moderate,,Medium,New,A,,,
168,Pria,21,18-25,1045,860,daily,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,Active canidate,
169,Pria,28,26-35,1377,860,daily,No,Yes,Yes,No,No,0,No,3-5 jt,Yes,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,A,,Active canidate,
170,Pria,28,26-35,1370,860,weekly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,Low,Low,New,B,,Active canidate,
